Id,SalePrice
1461,119513.58776997379
1462,152368.59371369076
1463,172896.71771246498
1464,200219.96710553183
1465,194974.94559667585
1466,182009.66642978275
1467,198459.84158142656
1468,170126.1553759568
1469,207351.03931046394
1470,116397.83908219216
1471,202111.10265316488
1472,113326.64357498451
1473,89886.81121999118
1474,150814.7421201535
1475,113629.17266922281
1476,317302.5431649368
1477,251068.1963897068
1478,293839.2925301348
1479,272647.7923289272
1480,404179.3791129384
1481,297280.5480850481
1482,213469.6258748325
1483,175803.175610736
1484,172327.12297187163
1485,195850.12536174967
1486,207667.91607072158
1487,289292.9482800218
1488,262986.09279497666
1489,185201.64495033002
1490,229006.61169492127
1491,209830.72334122285
1492,89469.16642360482
1493,215387.54462530883
1494,293879.93024534103
1495,281769.8873951931
1496,218626.38940776768
1497,169110.236134612
1498,154233.26241980703
1499,160197.48832761962
1500,150973.729852553
1501,196264.61361693917
1502,143907.38790281792
1503,280128.2620074295
1504,246133.28337040264
1505,224044.56098004594
1506,203580.7718283732
1507,249296.48757017218
1508,205304.7437372068
1509,155595.87465984118
1510,145550.68437386607
1511,148085.64803777612
1512,190662.63224874367
1513,166794.04682834004
1514,161772.23762659729
1515,220505.1486550218
1516,175577.83891457063
1517,172482.20085776923
1518,121917.40506294067
1519,243137.62413743022
1520,123976.75305596087
1521,119698.13408656744
1522,202372.56873815623
1523,81464.71108787158
1524,110662.87412409601
1525,102405.36474929331
1526,86788.95952136174
1527,92196.0523735251
1528,153227.26525079738
1529,131057.91294817021
1530,239697.4254689871
1531,145648.9230327697
1532,122343.56905900221
1533,153362.0512897442
1534,126817.67227714672
1535,152513.8475378973
1536,99399.69765988062
1537,33184.108638228965
1538,183330.0136352873
1539,223939.20470968354
1540,116972.2813814457
1541,155797.4766039115
1542,136667.3244946485
1543,193437.3006012661
1544,74114.1444551975
1545,132271.03091204003
1546,137578.4033421995
1547,140448.67867848603
1548,137965.24435701454
1549,126109.95936958143
1550,127147.48759895121
1551,130511.34780552075
1552,135015.10166226397
1553,169867.91840540292
1554,124590.00939790299
1555,164587.11006853823
1556,75302.48442979483
1557,98951.06347882817
1558,91576.91902744898
1559,76936.59938708483
1560,130421.69146070443
1561,131160.6577417187
1562,115415.64163351199
1563,113935.25228385837
1564,153332.846998506
1565,138356.70788317546
1566,248165.21032210672
1567,64383.07226839999
1568,223231.5832831005
1569,94506.70527997671
1570,139547.03993852157
1571,104754.74951912533
1572,138351.25598969823
